vorname;anzahl
Jaouhara;2
Jaqueline;1
Jara;3
Jarla;1
Jasmin;8
Jasmina;1
Jasmine;2
Jeanette;1
Jeanne;1
Jeffina;1
Jema;1
Jemimah;1
Jenna;1
Jennah;1
Jennet-Melek;1
Jennyfer;1
Jessica;3
Jesslyn;1
Jette;4
Jezebel;1
Jihe;1
Jill;1
Jill-Joleen;1
Jin;1
Jldza;1
Jo;1
Joánna;1
João;1
Joaline;1
Joana;1
Joanna;6
Joanne;2
Joella-Alexandra;1
Joelle;1
Jofie;1
Johanna;64
Jolanda;2
Joleen;3
Jolene;1
Jolie;4
Jolien;2
Jolin;1
Jolina;2
Jolina-Marleen;1
Joline;3
Jomiloju;1
Jona;1
Jonita;1
Jonna;3
Jordis;1
Josa;1
Josée;1
Josefine;17
Josephin;1
Josephine;22
Jospehine;1
Josy;1
Jouri;1
Jouwayria;1
Joy;2
Joyce;1
Juana;1
Jula;1
Julde-Wokam;1
Jule;7
Juli;3
Julia;32
Juliana;2
Juliane;3
Julie;6
Julienne;1
Julyene;1
Juna;8
June;1
Juni;1
Junina;1
Juno;2
Justyna;1
Kaho;2
Kailey;1
Kaja;2
Kalia;1
Kalla;1
Kaltrina;1
Kanlaya;1
Kaori;1
Kara;1
Karen;2
Kari;1
Karimi;1
Karina;2
Karla;12
Karla-Brianna;1
Karline;1
Karlotta;7
Karolina;3
Karoline;2
Katalin;1
Katalina;1
Katara;1
Katarina;1
Kate;1
Katerina;1
Kathalea;1
Katharina;50
Katharina-Galina;1
Kathrin;3
Katinka;1
Katja;1
Katrine;1
Kaur;2
Kaya;1
Kayla;2
Kaylee;1
Kaysah;1
Kejda;1
Kelly;1
Kenechi;1
Kenza;1
Khadeeja;1
Khadija;2
Khadija;1
Khatuna;1
Kiana;2
Kiara;1
Kiara-Milou;1
Kim;1
Kimberly;1
Kimia;2
Kira;2
Kiyoka;1
Klara;17
Klaudia;1
Klea;3
Komilovna;1
Kone;1
Konoha;1
Konstantina;1
Kornelia;1
Krisiana;1
Kristina;2
Krystyna;1
Kusija;1
Kyoka;1
kyzy;2
Léona;1
Léonie;1
Létizia;1
Lace;1
Laetitia;1
Lahela;1
Laian;1
Lale;2
Lalezer;1
Lalita;1
Lami;1
Lamia;1
Lamis-Sara;1
Lamprini;1
Lan;1
Lana;8
Lani-Luana;1
Laoura;1
Lara;34
Lara-Sufi;1
Larien;1
Larin-Angela;1
Larissa;2
Latifa;1
Latifah;1
Laura;42
Lauren;1
Lauryn;1
Lava;2
Lavendel;1
Lavie;1
Lavin;3
Layan;7
Layana;1
Layenne;1
Layla;5
Lays;1
Lea;33
Lea-Araya;1
Leah;4
Lea-Marie;1
Leana;2
Leandra;2
Learta;1
Lea-Sophie;1
Lee;1
Leia;6
Leila;1
Leilani;5
Lejla;1
Lejna;1
Lela;1
Lema;1
Lemoni;1
Lena;40
Lena-Maria;1
Lena-Sophie;1
Lene;1
Lenea;1
Leni;34
Lenia;3
Leniya;1
Lenora;1
Leokadia;1
Leona;8
Leonella;1
Leoni;2
Leonie;31
Leonora;2
Leonore;1
Leopoldine;1
Leticia;1
Letizia;3
Letty;1
Levia;1
Levke;2
Leya;1
Leyla;5
Leyli;1
Leyna;1
Lia;26
Lia-Anastasia;1
Liah;2
Lian;1
Liandra;1
Liane;1
Liang;1
Liara-Sofie;1
Lia-Viktoriya;1
Libi;1
Lidia;4
Lidija;2
Lien;1
Lila;1
Lilas;1
Lilav;1
Lili;3
Lilia;3
Lilian;2
Liliana;3
Lilien;1
Lilija;1
Lilith;2
Lilli;5
Lilly;13
Lilly;2
Lilo;1
Lilu;1
Lily;4
Lilya;2
Lilyan;1
Lin;1
Lina;61
Linda;9
Lindi;1
Linh;1
Linn;2
Linna;2
Linnéa;1
Linnea;3
Liona;1
Lisa;21
Lisbeth;3
Lise;1
Liselene;1
Liselle;1
Liselotte;1
Liska;1
Liv;7
Liva;1
Livia;8
Liya;13
Liya;1
Liyah;1
Liyan;2
Liyana;5
Liyana-Aliya;1
Liya-Nasima;1
Liya-Nur;1
Liz;2
Lizi;1
Lois;2
Lola;3
London;1
Lor;1
Lore;3
Loreen;1
Lorelai;1
Loreley;1
Loren;1
Lorena;4
Loretta;1
Lori;1
Lorie;1
Lorin;2
Lotta;19
Lotte;7
Lotti;1
Lou;4
Louann;1
Lou-Ann;1
Louis;1
Louisa;34
Louise;12
Lovis;1
Luai;1
Luana;3
Luca;2
Lucia;13
Luciana;1
Lucie;8
Lucija;1
Lucille;3
Lucretia;1
Lucy;9
Ludovica;1
Luis;1
Luisa;43
Luise;43
Luiza;1
Lumi;1
Luna;18
Lupita;1
Lutvija;1
Luzi;1
Luzia;3
Luzie;2
Lydia;3
Lylian;1
Lylou;1
Lyn;1
Lynette;1
Lynh;1
Lynn;4
Mélissandre;1
Maša;1
Maaida;1
Maame;1
Maanyata;1
Machika;1
Macide;1
Madeleine;3
Madeline;1
Madelyn;2
Madina;1
Madita;2
Mae;1
